iter	RMSE
0	0.9808118008
1	0.9633313721
2	0.9480705863
3	0.9345102488
4	0.9219345281
5	0.9106493329
6	0.9008016485
7	0.8916134093
8	0.8831914901
9	0.8759346816
10	0.8692179417
11	0.863139215
12	0.8573806455
13	0.851654588
14	0.846880047
15	0.8427656316
16	0.8389605418
17	0.8347655616
18	0.8313130429
19	0.8282627509
20	0.8253972613
21	0.8226285639
22	0.8197340106
23	0.8174210279
24	0.8148957227
25	0.8131300026
26	0.8108862328
27	0.808780794
28	0.8065853146
29	0.8050623463
30	0.8035604154
31	0.8021472713
32	0.8004455534
33	0.7989192397
34	0.7974984227
35	0.7956113554
36	0.7942465383
37	0.7929468508
38	0.7916464628
39	0.7904262925
40	0.7890427324
41	0.7879634094
42	0.78709696
43	0.7858954904
44	0.7845486539
45	0.783848619
46	0.7825582089
47	0.7818687388
48	0.7804618445
49	0.7788020706
50	0.7780628452
51	0.777120968
52	0.7757858563
53	0.7751539696
54	0.7741602129
55	0.7731960077
56	0.7720981913
57	0.7713174919
58	0.7705662218
59	0.7699601526
60	0.7693965968
61	0.768802976
62	0.767821877
63	0.7671184463
64	0.7664973949
65	0.7657987582
66	0.7653850187
67	0.7648882057
68	0.7641365757
69	0.7635344029
70	0.762601683
71	0.7617989954
72	0.7609647114
73	0.7604820003
74	0.7599921252
75	0.759497551
76	0.7591790581
77	0.7587350098
78	0.7582570147
79	0.7576957815
80	0.7572174109
81	0.7568486109
82	0.7564336734
83	0.7559777639
84	0.7553869849
85	0.7545638474
86	0.7541713915
87	0.7535398063
88	0.752962958
89	0.752214435
90	0.7516672149
91	0.7509470966
92	0.7505236563
93	0.7500645478
94	0.7496154321
95	0.7490485188
96	0.748699074
97	0.7481071316
98	0.7476488031
99	0.7468512836
100	0.7466804458
101	0.7461954806
102	0.7456463764
103	0.7452776124
104	0.7451277314
105	0.7448700661
106	0.7442379677
107	0.7438489469
108	0.7433861964
109	0.742694852
110	0.7423962045
111	0.742127413
112	0.7414328135
113	0.7412276317
114	0.7408209579
115	0.7406282191
116	0.7405118491
117	0.7401355557
118	0.7397011064
119	0.7393905565
120	0.7388788784
121	0.7385352425
122	0.7379927459
123	0.7374797782
124	0.7372806975
125	0.7369334921
126	0.736512147
127	0.7361254064
128	0.7358201147
129	0.7355564288
130	0.7351241295
131	0.7346793918
132	0.7343503867
133	0.7341015401
134	0.7337248268
135	0.7333962816
136	0.7331809953
137	0.7328726677
138	0.7321943838
139	0.7318418014
140	0.73150062
141	0.7312817079
142	0.7306678457
143	0.730474414
144	0.7301666344
145	0.7299259485
146	0.7293273315
147	0.7289189714
148	0.7287531777
149	0.7283985979
150	0.7280726003
151	0.7277460822
152	0.7273424646
153	0.7269879134
154	0.7266716965
155	0.7263663913
156	0.7261133921
157	0.7258487281
158	0.72536669
159	0.7249811027
160	0.7247899403
161	0.7244735519
162	0.7241848211
163	0.7238391186
164	0.72362366
165	0.7233941593
166	0.7229834479
167	0.7226111114
168	0.7223291352
169	0.7220895085
170	0.7219167326
171	0.7217514408
172	0.721456106
173	0.7211285759
174	0.7208561329
175	0.7206559024
176	0.7205017223
177	0.7202764068
178	0.7199887109
179	0.7196973589
180	0.7195307318
181	0.7192612799
182	0.71906572
183	0.7188889344
184	0.7186624888
185	0.7183939603
186	0.7177990183
187	0.7175376458
188	0.7171297134
189	0.717006712
190	0.7166131691
191	0.7164615768
192	0.7159909222
193	0.7155012889
194	0.7151777967
195	0.7149900632
196	0.7145955607
197	0.7143557334
198	0.7141979851
199	0.7139663989
200	0.7137725643
201	0.7134829482
202	0.7131529985
203	0.7129646707
204	0.7128304635
205	0.7127094127
206	0.712360314
207	0.711961592
208	0.7118510116
209	0.711653806
210	0.7112802931
211	0.7108911774
212	0.7105729283
213	0.7101845316
214	0.7100718915
215	0.709958517
216	0.7096937946
217	0.7094591443
218	0.7091253815
219	0.7090126867
220	0.7088053414
221	0.7085543674
222	0.7081349248
223	0.7078107011
224	0.7074927148
225	0.7071952983
226	0.7068366351
227	0.7066262877
228	0.7065286568
229	0.7061885315
230	0.7060487666
231	0.7057090491
232	0.7054835771
233	0.7053542647
234	0.7048731425
235	0.7045008342
236	0.7042067214
237	0.7040553035
238	0.7039102425
239	0.7036504103
240	0.703233406
241	0.7029904377
242	0.7028129687
243	0.7023777587
244	0.7019791887
245	0.701743435
246	0.7016049763
247	0.7013191347
248	0.7010365008
249	0.7008257512
250	0.7005483443
251	0.7003704889
252	0.7000811825
253	0.6998935588
254	0.6995174688
255	0.699228581
256	0.699123941
257	0.6990042519
258	0.6985577053
259	0.6982202904
260	0.6978901911
261	0.6977260774
262	0.6976445596
263	0.6974418972
264	0.6972582605
265	0.6970806132
266	0.697018304
267	0.6967935444
268	0.6965631893
269	0.6963575062
270	0.6960076142
271	0.6958693656
272	0.695677595
273	0.6954822238
274	0.6953035708
275	0.6951923105
276	0.6949289614
277	0.6946395625
278	0.6945007825
279	0.6943579185
280	0.6940380198
281	0.6938642248
282	0.6936996862
283	0.6935805914
284	0.6933909166
285	0.6931122125
286	0.6929596869
287	0.6926300848
288	0.6925336496
289	0.6923600192
290	0.6919962706
291	0.6919327634
292	0.691787213
293	0.691463143
294	0.691285303
295	0.691102387
296	0.6909953772
297	0.6908612591
298	0.6905841465
299	0.6904479524
300	0.6903757886
301	0.6902093174
302	0.69005536
303	0.6898943276
304	0.6896410301
305	0.6895281037
306	0.6893025991
307	0.6892326932
308	0.6891802761
309	0.6890661098
310	0.6887169885
311	0.6886448736
312	0.6884919175
313	0.6883648797
314	0.6882549022
315	0.6879639976
316	0.6878822578
317	0.6874605556
318	0.6870157106
319	0.6868789554
320	0.6867745114
321	0.6866010644
322	0.6865065908
323	0.6860663392
324	0.6860109706
325	0.6858968007
326	0.6855978799
327	0.6855021598
328	0.6853585873
329	0.685160307
330	0.6849645193
331	0.6847202162
332	0.6844724209
333	0.6842545173
334	0.6841740928
335	0.6840642462
336	0.6839420565
337	0.6838684265
338	0.6837663076
339	0.6833830752
340	0.6832911478
341	0.6831578823
342	0.6827733918
343	0.6825284097
344	0.6823004993
345	0.6821986916
346	0.6820487731
347	0.6819453305
348	0.6816749088
349	0.6815213334
350	0.6813823871
351	0.6811822122
352	0.6809886704
353	0.680646142
354	0.6804583661
355	0.6803927797
356	0.6801934227
357	0.6800246463
358	0.6798673762
359	0.6794972169
360	0.679207148
361	0.6789404349
362	0.6788158354
363	0.6787445139
364	0.6785050462
365	0.6784899464
366	0.6783455826
367	0.6781934727
368	0.6781074155
369	0.6779061966
370	0.6777901709
371	0.6775497166
372	0.6773379726
373	0.6771624855
374	0.6769537468
375	0.676833477
376	0.6767667658
377	0.6765325689
378	0.6763985061
379	0.6763149992
380	0.6761731982
381	0.6760305172
382	0.6758434662
383	0.675664424
384	0.6756254531
385	0.6755774956
386	0.6754086085
387	0.6752296646
388	0.6749323942
389	0.6748376886
390	0.6746529792
391	0.6745360694
392	0.6744133929
393	0.6740830102
394	0.6739424807
395	0.6735992162
396	0.6734115822
397	0.6732413941
398	0.6729671595
399	0.6727911108
400	0.6726249393
401	0.6725129205
402	0.6722332008
403	0.6721353102
404	0.671937049
405	0.6717672572
406	0.6716964114
407	0.6716324308
408	0.6715171421
409	0.6712834458
410	0.6710642722
411	0.6710177108
412	0.6709313902
413	0.6707307898
414	0.6705767312
415	0.6703938592
416	0.6702828212
417	0.6701298891
418	0.6698190518
419	0.6696633933
420	0.669487463
421	0.6694459798
422	0.6693537122
423	0.6691032501
424	0.6689871476
425	0.6688786692
426	0.6687303255
427	0.6686043596
428	0.6684981574
429	0.6682297084
